A1,A2,A3,A4,A5,A6,E,xa1,ya1,za1,xa2,ya2,za2,xa3,ya3,za3,xn1,yn1,zn1,xn2,yn2,zn2,xn3,yn3,zn3,dx1,dy1,dz1,err1,dx2,dy2,dz2,err2,dx3,dy3,dz3,err3
9.3,-125.6,99.9,-153.1,-41.5,48.1,0,2356.38004,2712.43084,794.790694,2125.247964,2920.812249,883.458932,2300.505028,2828.832349,498.298457,2356.26051,2712.344397,794.8467624,2125.148691,2920.770758,883.4853626,2300.356174,2828.689066,498.337702,0.119530274,0.086443367,-0.056068361,0.157808755,0.099272717,0.041490914,-0.026430605,0.110793255,0.148854249,0.143283169,-0.039244994,0.210304121
10.2,-111.2,81.9,-150.9,-53.1,343,0,2490.000863,2821.529174,980.713887,2174.048004,2802.975194,1048.134344,2416.77525,3120.411101,881.294064,2490.041694,2821.493417,980.6584307,2174.106269,2802.984077,1048.135709,2416.826814,3120.364827,881.1853927,-0.040831382,0.035757033,0.055456316,0.0775962,-0.058264675,-0.00888341,-0.001365206,0.058953805,-0.051563764,0.046273654,0.108671321,0.128877961
44.3,-59.8,111.8,-150.7,55,48.6,0,2934.202104,1073.478287,2111.141844,2672.778256,1223.381584,2229.038869,2824.041173,1178.434676,1825.778416,2934.213414,1073.509078,2111.038279,2672.762096,1223.37176,2228.915865,2824.026582,1178.392293,1825.664859,-0.011309593,-0.030790964,0.103564861,0.108635495,0.01616045,0.009823932,0.123004085,0.124449486,0.014590769,0.042382753,0.113557196,0.122083681
41.1,4.1,41.5,-149.4,77.7,61.7,0,3583.245069,490.556294,2238.966667,3293.126602,585.814965,2346.073341,3422.620208,421.709023,1966.830439,3583.262763,490.420789,2239.28908,3293.119592,585.653677,2346.333639,3422.737557,421.6051702,1967.119921,-0.01769445,0.135504975,-0.322413201,0.350178474,0.007010338,0.161288047,-0.260297838,0.306297149,-0.117349127,0.103852832,-0.289482187,0.329174976
-12,-124.8,47.1,-147.1,-99.3,169.3,0,1249.0211,3378.930311,473.63995,1194.068639,3579.198321,225.446253,999.904971,3213.096148,351.055547,1249.114243,3378.750477,473.5474758,1193.999394,3578.938754,225.3586358,1000.005901,3212.79488,351.1422062,-0.093143319,0.179834192,0.092474216,0.222637587,0.069245271,0.259567423,0.087617237,0.282572,-0.100930398,0.30126826,-0.086659159,0.329331625
-18.1,-122,84.6,-143.2,-78.1,338,0,2101.036381,2642.187558,144.544637,1804.390967,2674.164999,269.81114,2070.145178,2957.100166,77.894457,2101.012176,2642.167583,144.5956134,1804.418794,2674.202711,269.9632607,2070.096461,2957.073388,77.82884763,0.024205243,0.019974775,-0.050976393,0.059862159,-0.027826506,-0.037711887,-0.152120698,0.159176656,0.048716875,0.026778386,0.065609373,0.085994219
43.7,-47.2,89.6,-140.8,49.3,40.4,0,3306.926944,1088.190456,2269.838493,3058.824963,1244.090339,2407.13075,3169.738353,1183.534668,1992.958764,3306.940425,1088.182186,2269.690294,3058.827906,1244.072325,2406.982865,3169.707481,1183.462966,1992.799357,-0.01348069,0.008269949,0.148198514,0.149039996,-0.002943293,0.01801389,0.147884662,0.149006834,0.030872307,0.071702244,0.159407347,0.177496517
14,-36.8,25.9,-140.4,-39.2,112.6,0,4165.589756,1855.022974,1600.556067,4158.293421,2118.95996,1413.503451,4027.487693,1711.784929,1345.625203,4165.602572,1854.919512,1600.626477,4158.363302,2118.881842,1413.588758,4027.470088,1711.72822,1345.684653,-0.012815976,0.103461961,-0.070410205,0.12580232,-0.06988067,0.078117949,-0.085307004,0.135140693,0.017604771,0.056709255,-0.05944968,0.084024592
-9.9,-101.9,32.9,-138.7,-94.6,37.8,0,1855.614537,3526.631917,576.576531,1592.328604,3686.010767,676.543882,1852.415846,3741.343488,334.781419,1855.81648,3526.580112,576.4873592,1592.521114,3685.890813,676.5196924,1852.46304,3741.235869,334.6386243,-0.201943238,0.051805157,0.089171843,0.226751987,-0.192510119,0.119954044,0.024189648,0.228110187,-0.047194243,0.10761921,0.142794685,0.184931104
7.7,-111.1,102.4,-135.4,-45.3,48.4,0,2592.643631,2182.150761,1029.901737,2455.962141,2475.277702,1039.962926,2601.482717,2234.357696,710.877983,2592.846579,2182.236429,1029.846988,2456.167369,2475.371095,1039.947105,2601.636383,2234.467003,710.8272335,-0.202948192,-0.08566839,0.05474863,0.226989986,-0.205228033,-0.093392543,0.015821015,0.226033221,-0.153665545,-0.109306538,0.050749477,0.195285761
46.7,-6.3,37.9,-133.8,61.6,128.3,0,3614.062141,833.01345,2591.028213,3390.222776,940.325545,2383.517508,3486.850998,542.760876,2525.608461,3614.02904,833.0286167,2591.200505,3390.189176,940.3633883,2383.626424,3486.967514,542.9357058,2525.764901,0.033101416,-0.015166699,-0.172291539,0.176096867,0.033600346,-0.037843287,-0.108915673,0.120098799,-0.116516422,-0.174829831,-0.156440032,0.261944708
-11.4,-121.9,82.8,-133.1,-70,350.7,0,2109.162137,2969.418494,518.51612,1802.551279,3014.002584,611.841123,2062.106152,3241.741862,350.587167,2109.149846,2969.277129,518.4665661,1802.570533,3013.906341,611.8920028,2062.075946,3241.55613,350.4564943,0.012290756,0.141364832,0.049553864,0.150301909,-0.019254174,0.096243302,-0.050879796,0.110554285,0.03020645,0.185732306,0.130672692,0.22909446
30.7,-60.9,84.7,-132.8,12.4,91.3,0,3593.154076,1384.102339,1889.156835,3491.843645,1671.093935,1779.198525,3429.436352,1267.23098,1635.942307,3593.213759,1384.164015,1889.058927,3491.909453,1671.152764,1779.119411,3429.456587,1267.301842,1635.86583,-0.059683363,-0.061676432,0.097908426,0.130200407,-0.065807752,-0.058829056,0.079114296,0.118535184,-0.020235081,-0.070862015,0.076476558,0.106205215
-29.7,-82.4,55.6,-123.7,-85.8,34.4,0,2820.494306,2644.87145,-320.560208,2681.194873,2933.909907,-278.598566,2837.802873,2735.850872,-630.402774,2820.546094,2644.926333,-320.6150185,2681.273265,2933.986071,-278.6795267,2837.774427,2735.84461,-630.4796631,-0.051788474,-0.054882993,0.054810546,0.093265132,-0.07839216,-0.076163587,0.080960743,0.136017884,0.028446335,0.00626183,0.076889078,0.082221255
17.8,-125.8,124.6,-123.4,-18.9,31.6,0,2420.012822,2122.028068,1159.929507,2208.96135,2366.952064,1173.401082,2390.560053,2158.707657,839.983201,2419.956445,2121.896834,1160.02925,2208.887963,2366.805972,1173.484237,2390.50974,2158.55046,840.0786277,0.056377484,0.13123398,-0.099743084,0.174210967,0.073387175,0.146092317,-0.083155038,0.18342138,0.050313081,0.157196873,-0.095426659,0.190652852
-23.7,-100.4,75.8,-121.5,-75.1,322.5,0,2620.488197,2728.219691,63.482481,2304.204939,2753.169768,127.21158,2583.455095,3022.779935,-64.731534,2620.548,2728.197379,63.39093144,2304.2984,2753.206832,127.2003829,2583.5271,3022.726646,-64.9101027,-0.059802844,0.022312094,0.091549561,0.111604354,-0.093461259,-0.037063765,0.011197072,0.101163748,-0.072004808,0.053289454,0.178568697,0.199777972
57.1,-65.7,117.8,-119.9,61.2,139.3,0,2526.845097,1003.9024,2025.686236,2367.094747,1182.13032,1807.893144,2301.170684,781.912196,1959.560802,2526.967491,1003.966369,2025.770005,2367.199418,1182.169656,1807.987854,2301.339017,781.9387064,1959.626651,-0.122394289,-0.063969376,-0.083768765,0.161522905,-0.104670532,-0.039336331,-0.094709745,0.146537378,-0.168332609,-0.02651044,-0.06584949,0.182687783
17.3,-126.1,125,-119.3,-22.7,77.3,0,2367.224586,2097.885996,1213.136564,2289.188401,2365.836683,1049.353702,2278.945901,1946.654919,941.285073,2367.242266,2097.684823,1213.134932,2289.224524,2365.644791,1049.361171,2278.948361,1946.445739,941.2703139,-0.017679997,0.201172687,0.001631708,0.201954685,-0.036123433,0.191892495,-0.007468609,0.195405763,-0.002460001,0.209179822,0.01475913,0.209714286
-23.3,-117.3,107.6,-117.1,-71.7,81.8,0,2322.685738,2174.952222,240.487752,2331.733612,2447.047029,65.610879,2198.04549,2046.116681,-28.677842,2322.882622,2175.040411,240.5261551,2331.923685,2447.136049,65.61760194,2198.165411,2046.200581,-28.59248103,-0.196884131,-0.088188959,-0.038403064,0.219124277,-0.190072539,-0.089019902,-0.006722936,0.209993597,-0.11992052,-0.083899629,-0.085360974,0.169430147
-32,-98.6,88.9,-117.1,-75.8,64.8,0,2637.005198,2286.307452,-275.632404,2608.777044,2586.84687,-392.180102,2535.153532,2198.880957,-569.844125,2637.073925,2286.344915,-275.6410112,2608.862988,2586.874979,-392.2459948,2535.136861,2198.864895,-569.809264,-0.068726507,-0.037463399,0.008607231,0.078745942,-0.085944442,-0.028108788,0.065892799,0.11188571,0.016670573,0.01606172,-0.034861018,0.041847072
-22.4,-106,95.8,-116.3,-68.6,63.6,0,2609.985173,2332.907273,141.709063,2563.853722,2632.050223,27.278943,2535.711043,2242.532731,-159.784076,2610.182937,2332.934242,141.6268236,2564.0578,2632.074244,27.17755801,2535.828034,2242.526997,-159.8309283,-0.19776449,-0.026969433,0.082239404,0.215873721,-0.20407826,-0.024021448,0.101384985,0.229137255,-0.116990924,0.005733643,0.046852273,0.126154217
-27.6,-124.1,116.8,-112.7,-74.7,41.5,0,2159.064257,2075.505145,224.830139,2072.710861,2380.064735,157.779987,2141.783534,2035.790288,-95.648294,2159.25772,2075.63407,225.0325625,2072.889139,2380.183636,157.9442995,2141.916383,2035.869643,-95.43110326,-0.193462738,-0.128924909,-0.20242346,0.308260799,-0.178278213,-0.118901307,-0.164312493,0.270035623,-0.132848643,-0.079354636,-0.217190736,0.266679089
-11.6,-25.2,11,-112.6,-76,353.6,0,4004.85255,1741.762984,412.07082,3746.261335,1935.046192,390.30313,4110.594205,1910.831478,157.51667,4004.740919,1741.854044,412.172074,3746.163964,1935.179208,390.3752239,4110.495289,1910.913297,157.5851303,0.111630831,-0.091060268,-0.101253954,0.176084577,0.097370738,-0.133016188,-0.072093933,0.179921933,0.098915859,-0.081818689,-0.0684603,0.145483531
50.5,-85.3,109,-110.4,42.7,318.5,0,2721.832776,1807.14218,1956.159065,2470.537863,1770.819445,2156.799653,2554.217809,2061.037648,1846.492361,2721.817797,1807.029261,1956.191102,2470.55753,1770.731052,2156.843159,2554.202415,2060.896902,1846.482747,0.01497942,0.112918718,-0.03203728,0.118327542,-0.019667436,0.088392941,-0.04350587,0.10046333,0.015393781,0.14074606,0.009613973,0.141911417
