A1,A2,A3,A4,A5,A6,E,xa1,ya1,za1,xa2,ya2,za2,xa3,ya3,za3,xn1,yn1,zn1,xn2,yn2,zn2,xn3,yn3,zn3,dx1,dy1,dz1,err1,dx2,dy2,dz2,err2,dx3,dy3,dz3,err3
-87,-49.8,63.8,105.7,-77.4,93.5,500,1403.3741,1344.5496,3046.1689,1298.613,1291.2323,3460.8074,1417.3568,1697.3964,3543.3735,1403.361551,1344.56764,3046.220738,1298.537832,1291.239874,3460.853544,1417.339079,1697.387577,3543.474021,0.012548568,-0.01803992,-0.051838429,0.05630389,0.075167662,-0.007573662,-0.04614394,0.088525708,0.017720769,0.008822845,-0.100521232,0.102451873
-109.3,-55.8,37.1,142,-71.8,31.8,500,2318.2743,2042.3315,2809.4411,2089.7087,1950.5185,3163.093,2277.1536,2279.098,3369.9448,2318.317355,2042.169939,2809.599908,2089.716865,1950.52711,3163.289895,2277.243844,2279.127525,3370.042961,-0.043054925,0.161560821,-0.158808166,0.230598481,-0.008164971,-0.008609661,-0.196895136,0.197252345,-0.090244119,-0.029525114,-0.098160752,0.13656964
-118,-61.2,38.2,162.2,-55.8,309.5,500,2698.4998,2553.2829,2972.6409,2447.184,2205.2857,2934.205,2215.3294,2334.7961,3273.8618,2698.667724,2553.075488,2972.585968,2447.249754,2205.127658,2934.195913,2215.436419,2334.740948,3273.833324,-0.167923648,0.207411819,0.054932253,0.272462046,-0.065753634,0.158041512,0.009086872,0.171415377,-0.10701869,0.055152137,0.02847598,0.123715964
-126.8,-110.5,107.5,175,-27.8,334.7,500,2381.3706,2039.7847,1971.2511,2036.4019,1839.4699,2134.3694,1964.0097,2175.4127,2394.7446,2381.395344,2039.655708,1971.264582,2036.361432,1839.510064,2134.498799,1964.139881,2175.565002,2394.771849,-0.024743975,0.128992107,-0.013482046,0.132034062,0.040467765,-0.040164097,-0.12939867,0.141403007,-0.130180575,-0.152302237,-0.027248821,0.202201512
-133,-110.8,82.8,-165.9,-49.6,272.2,1000,2801.1162,2969.9668,1920.8833,2627.3913,2580.7399,1857.2549,2294.0769,2688.0243,2108.8155,2801.274934,2969.751778,1920.868331,2627.353235,2580.56589,1857.323356,2294.097591,2688.048687,2108.875905,-0.158734382,0.215022413,0.014969176,0.267685111,0.038065072,0.174010129,-0.068455725,0.190826258,-0.020691232,-0.024386845,-0.060404617,0.068348834
-149.5,-87.3,107.4,-96.3,-36.5,216.2,1000,3532.5216,1652.9036,2025.1312,3216.8614,1359.4839,2031.0726,2960.0645,1639.3032,2235.151,3532.516099,1652.876505,2025.330997,3216.884878,1359.456068,2031.261106,2960.090681,1639.319473,2235.284171,0.005501144,0.027095265,-0.19979734,0.201701247,-0.023477638,0.027831992,-0.188506282,0.191990723,-0.026181329,-0.01627321,-0.13317117,0.136692502
-75.1,-58.9,40.2,-67.5,90.8,141.7,1000,1390.4541,2697.879,3053.0048,1301.0456,2318.2715,2869.5521,1102.9609,2190.1359,3230.4168,1390.686933,2697.941847,3052.999579,1301.236212,2318.303794,2869.618227,1103.102916,2190.274138,3230.511343,-0.232833178,-0.062847006,0.005221322,0.241222505,-0.190611637,-0.03229402,-0.066126842,0.204324397,-0.142016435,-0.138237652,-0.094543177,0.219583079
-90.7,-114.2,111.8,-63.4,50.2,137.7,1000,1934.17,2402.1079,2352.4094,1954.4327,2025.417,2143.9699,1644.8514,1867.2699,2398.9967,1934.289217,2402.088549,2352.438824,1954.521787,2025.371551,2144.041942,1644.911335,1867.27668,2399.070922,-0.119216553,0.019350571,-0.029423543,0.124309195,-0.089087094,0.045449064,-0.07204174,0.1232564,-0.059935192,-0.006780089,-0.074222315,0.095640728
-111.9,-95.5,99.6,-45.5,25.7,192.9,1000,2679.6416,2008.1923,2520.8553,2357.8539,1767.229,2676.2391,2246.8848,2086.9967,2943.2989,2679.759392,2008.322879,2520.981064,2357.960984,1767.294341,2676.234077,2246.886356,2087.020569,2943.30894,-0.11779207,-0.130579477,-0.125764311,0.216200447,-0.107084275,-0.065341082,0.005023237,0.125545736,-0.001555867,-0.023868964,-0.010040093,0.025941311
-98.1,-86.1,62.4,-36.4,70.4,207.7,1000,2134.3822,2454.0858,2473.0714,1824.6082,2372.0891,2761.2396,1943.0192,2719.3087,2987.766,2134.538002,2454.179155,2473.170487,1824.642076,2372.157315,2761.250336,1942.940357,2719.352653,2987.860362,-0.155802254,-0.093355017,-0.099086601,0.206900112,-0.03387579,-0.068214508,-0.010735826,0.076915839,0.078843403,-0.04395268,-0.094361747,0.130584301
-115.2,-113.7,114.6,-9.2,32.8,303.4,1000,1938.3604,1688.811,2366.5468,2192.3224,2021.6966,2468.7963,2486.8892,1884.4279,2185.4557,1938.349518,1688.690696,2366.457169,2192.08068,2021.664115,2468.934385,2486.881288,1884.612645,2185.738314,0.010881581,0.120304089,0.089630878,0.150416678,0.241719909,0.032484593,-0.138085084,0.280269966,0.007912212,-0.184744648,-0.282613808,0.337733256
-119.5,-104,99.2,-6.1,46.3,230.7,1000,2328.175,1694.7877,2137.8706,2180.9915,1914.2585,2478.3221,2540.2031,2152.7151,2480.3341,2328.279319,1694.814262,2137.816406,2180.911608,1914.240957,2478.23783,2540.082594,2152.740647,2480.417373,-0.104319312,-0.026562028,0.054194201,0.120520005,0.079891881,0.017542908,0.08426979,0.117438767,0.120505957,-0.02554726,-0.083273261,0.148690229
-120.7,-79.1,45.1,-3.6,79.5,22.7,1000,2549.4237,2782.7298,2728.8912,2824.7546,2686.7902,2411.4912,2544.0403,2399.7759,2254.2555,2549.229166,2782.823807,2728.940226,2824.77328,2686.964086,2411.705111,2544.217501,2399.902081,2254.306052,0.194534179,-0.094007486,-0.049025932,0.221550212,-0.018679952,-0.17388649,-0.213911316,0.276303281,-0.177200635,-0.126181256,-0.050551753,0.223332161
-130.2,-107.3,81.4,1.1,65.5,98.1,1000,2822.4744,2609.0118,1856.4895,2597.359,2281.6532,1689.4545,2294.17,2335.7512,1991.1767,2822.48022,2609.099047,1856.67059,2597.489811,2281.704147,1689.505883,2294.150801,2335.731719,1991.096322,-0.005819554,-0.087246675,-0.181090397,0.201095951,-0.130810701,-0.050946994,-0.051382797,0.149489891,0.019199216,0.019481027,0.08037766,0.084903995
-138.6,-86.5,76.4,35.1,40,55.7,1000,3344.5396,2593.8832,2429.1646,3250.5509,2196.7295,2290.6578,2864.8308,2221.0191,2481.7383,3344.526009,2593.8894,2429.203379,3250.685341,2196.725776,2290.61091,2864.890572,2220.874965,2481.583163,0.013591372,-0.006199767,-0.038779195,0.041557051,-0.134440578,0.003723791,0.04689046,0.142431916,-0.059772187,0.14413515,0.155136684,0.220034194
-74.8,-65.4,86.5,98,-76.7,315.2,1000,1307.0202,1870.7989,3198.4843,1433.789,1686.4696,2830.0776,1280.1043,1307.4356,2966.4454,1307.014512,1870.811234,3198.533918,1433.844559,1686.677158,2830.073056,1280.180291,1307.549434,2966.244666,0.005688162,-0.012334483,-0.049617763,0.051443338,-0.055558948,-0.207557981,0.00454442,0.214913387,-0.075990788,-0.113834332,0.200733643,0.242954421
-149.8,-89.3,119.4,99.8,41.9,249.9,1000,2907.1257,1642.3149,2181.5733,3312.0591,1588.73,2044.1301,3225.0585,1177.7872,1946.9894,2907.073919,1642.335075,2181.590635,3312.022557,1588.625163,2044.166953,3224.92609,1177.673982,1947.080312,0.05178147,-0.02017481,-0.017335346,0.058213897,0.036543184,0.104836695,-0.036853047,0.116979844,0.132410089,0.113217638,-0.090911531,0.196508452
-52.1,-68.7,94.3,113.5,-91.4,206.5,1000,231.2981,1165.6198,2625.0227,361.702,1569.0544,2702.4549,553.4917,1581.5479,2316.5298,231.2686462,1165.545749,2624.929492,361.6595987,1568.950116,2702.509238,553.520809,1581.504536,2316.603775,0.029453802,0.074051112,0.093208349,0.122633152,0.042401254,0.104284229,-0.054338044,0.125002759,-0.029108971,0.043364312,-0.073974556,0.090554021
-76.2,-102.8,97.9,119.1,-73.9,303.7,1000,1494.2587,2414.7506,2479.916,1541.8642,2129.8698,2160.0331,1255.5356,1868.9573,2349.3271,1494.283069,2414.730939,2479.861195,1541.921786,2129.902349,2159.92852,1255.553249,1868.966196,2349.134493,-0.024368803,0.019661477,0.054804555,0.063118551,-0.057585856,-0.032548841,0.104580412,0.123744173,-0.017649041,-0.008895938,0.192607227,0.19361862
-144.6,-73.5,113.1,137.7,50.6,319.1,1000,3522.7925,1662.3099,2260.6388,3407.1876,1252.2623,2325.7476,3028.4786,1383.8603,2484.3442,3522.923087,1662.134649,2260.515327,3407.209284,1252.115214,2325.686191,3028.54804,1383.836191,2484.294116,-0.130587429,0.175251132,0.123472894,0.251021098,-0.02168365,0.147085759,0.061409229,0.160858617,-0.069439826,0.02410937,0.05008446,0.0889472
-119.3,-110.4,115.4,160.9,-6.3,264.2,1000,2512.664,2387.9175,2452.6555,2630.175,2005.237,2292.9564,2279.0066,1824.7592,2466.1226,2512.847581,2387.940831,2452.520432,2630.207537,2005.190782,2292.890492,2278.982665,1824.864847,2466.136213,-0.183581313,-0.023330933,0.135068454,0.229106783,-0.032536594,0.046217746,0.065908118,0.086825054,0.023934855,-0.105647166,-0.013613178,0.109176552
-134.8,-84.6,70.4,-150.5,-51.9,218.9,1500,3545.534,2588.3352,2632.3268,3602.6259,2235.3305,2391.7507,3190.729,2124.9686,2455.3758,3545.867546,2588.2451,2632.256784,3602.678555,2235.141429,2391.750905,3190.73631,2125.016309,2455.525197,-0.333546133,0.090100142,0.070015922,0.352524167,-0.052654581,0.189071438,-0.000204749,0.196266542,-0.007309643,-0.047708968,-0.149397088,0.157000212
-149.7,-85.3,67.3,-133.6,-77.5,123.9,1500,3201.2908,2552.734,2159.1392,3632.2073,2545.7606,2154.3944,3624.1088,2192.685,1907.0804,3201.119383,2552.781018,2159.187357,3632.026732,2545.691957,2154.549342,3623.894689,2192.568019,1907.304655,0.171417051,-0.047017858,-0.048156637,0.184156309,0.180568383,0.068642935,-0.15494247,0.247636755,0.214110987,0.116980724,-0.224255179,0.331388578
-145.2,-87.6,90.9,-118,-49.4,151.3,1500,3500.8035,2283.1522,2439.1791,3785.9087,2003.957,2276.3012,3467.9528,1722.6368,2201.1409,3500.88605,2283.180965,2439.243098,3785.91143,2003.875066,2276.445131,3467.890702,1722.606257,2201.32561,-0.082549826,-0.028765408,-0.063998104,0.108340573,-0.002729623,0.081934412,-0.143931134,0.165640786,0.062097637,0.030542537,-0.184709738,0.197247688
-61,-14.6,47.4,-81.5,94.4,10,1500,898.4393,274.7688,3384.2426,868.939,668.1834,3557.6903,1021.6055,840.6704,3193.2419,898.5247034,274.639967,3384.261575,869.115395,668.0875627,3557.727699,1021.840085,840.5501773,3193.279454,-0.085403443,0.128832998,-0.018974995,0.155729701,-0.176395036,0.095837257,-0.037399155,0.204202559,-0.234585034,0.120222698,-0.037553635,0.266259104
-73.8,-80.2,93.2,-72.2,70,132.6,1500,1768.0826,2030.5869,3004.0099,1881.8994,1795.6785,2661.0632,1639.6789,1468.9363,2804.0533,1768.255402,2030.623709,3004.021113,1882.046368,1795.618216,2661.123844,1639.73647,1468.94337,2804.171999,-0.17280242,-0.036808779,-0.011213036,0.177034727,-0.146967788,0.06028385,-0.060643822,0.170033369,-0.057570094,-0.007070103,-0.118699321,0.132112948
-62.8,-64.9,23.8,-62.1,93.9,4.8,1500,986.2342,3009.8122,3019.7403,1290.2047,3273.2401,2864.9015,1394.812,2978.534,2568.0925,986.2140287,3009.801723,3019.737687,1290.230921,3273.228878,2865.029693,1394.952378,2978.590098,2568.192964,0.020171257,0.010477294,0.002612524,0.022879654,-0.026220705,0.011222412,-0.128192604,0.131327117,-0.140378464,-0.056098057,-0.100464085,0.18151071
-79,-116.7,109.8,-55.5,54.9,357.2,1500,1587.2416,2049.553,2482.6907,1822.2098,2410.3157,2502.4695,2098.2647,2246.7075,2214.5112,1587.322273,2049.613639,2482.652384,1822.26757,2410.395738,2502.446676,2098.359214,2246.799721,2214.520996,-0.080673011,-0.060638812,0.038316005,0.107950528,-0.057769862,-0.080038043,0.022824404,0.101313369,-0.094513766,-0.092220648,-0.009796082,0.132413983
-89.1,-94.3,37.7,-34,93,141.1,1500,2340.131,3380.8192,1954.3453,2054.0811,3058.5315,1947.0947,1833.8729,3246.3823,2266.64,2340.195314,3380.8605,1954.469187,2054.173762,3058.542198,1947.050004,1833.779465,3246.31453,2266.515822,-0.064314345,-0.041299641,-0.12388687,0.145567688,-0.09266235,-0.01069786,0.044695808,0.103433411,0.093435409,0.067769512,0.124178257,0.169537966
-89,-105.5,58.3,-33.7,92.7,149.9,1500,2330.8918,3054.2303,1789.8154,2014.8789,2761.2644,1782.4182,1838.1162,2942.6343,2131.3409,2330.905765,3054.356312,1789.95251,2014.921276,2761.355654,1782.392041,1837.972961,2942.687959,2131.245049,-0.013965115,-0.126011649,-0.137109815,0.186743303,-0.042376312,-0.091254141,0.026158839,0.103958429,0.143239406,-0.053658522,0.095851369,0.180511078
-113.7,-69,27,-8.4,79.1,132.3,1500,3166.588,2906.8769,2701.627,2845.6514,2621.9187,2662.3229,2632.0613,2817.9257,2981.4583,3166.611137,2907.061442,2701.77574,2845.748446,2622.032771,2662.305182,2631.964121,2818.007729,2981.335586,-0.023137486,-0.184541795,-0.148740457,0.238148569,-0.097046215,-0.11407061,0.017717932,0.15081113,0.097178817,-0.082028769,0.122713651,0.176723178
-109.7,-111.8,47.3,-7.9,96.8,14.4,1500,2105.74,3455.5911,1702.8008,2456.943,3389.6899,1461.8181,2280.3687,3030.2376,1302.1357,2105.527765,3455.545476,1702.747378,2456.886697,3389.839319,1461.954067,2280.532279,3030.335354,1302.121144,0.212235343,0.045624404,0.053422043,0.2235606,0.056302573,-0.149418672,-0.135967085,0.209721166,-0.163578754,-0.097754392,0.014556405,0.191117291
-122.4,-96.2,68.2,1.8,65.1,190.8,1500,3017.9184,2432.8082,2127.0112,2684.2375,2509.1472,2388.9121,2894.7405,2844.2986,2559.9539,3018.094281,2432.996888,2127.084127,2684.274988,2509.201089,2388.827134,2894.570943,2844.416742,2559.990055,-0.175880777,-0.188687691,-0.072927305,0.268058733,-0.03748795,-0.053889116,0.084965986,0.107371328,0.169556819,-0.118141593,-0.036154979,0.209795456
-121.9,-67.2,37.5,12.6,78.5,245.1,1500,2817.836,2241.9883,2740.8953,2827.3622,2532.0801,3059.5019,3252.9044,2576.7873,3006.5289,2817.843937,2241.867817,2740.791778,2827.207495,2531.948353,3059.410117,3252.771893,2576.675454,3006.636937,-0.007936582,0.120482559,0.103522202,0.159046794,0.154705197,0.131746897,0.091783023,0.222968756,0.132506957,0.111846172,-0.108037103,0.204302901
-147.6,-116.9,81.8,28.1,79.4,192,1500,2863.2231,2412.2339,1332.8014,2625.4581,2637.3317,1613.0605,2960.9354,2897.1361,1689.5318,2863.4129,2412.24905,1332.805427,2625.449121,2637.240488,1612.992637,2960.805928,2897.154359,1689.616254,-0.189799517,-0.01514985,-0.004026854,0.190445767,0.008978971,0.091212145,0.067863143,0.114042463,0.129471945,-0.018259023,-0.084454127,0.155656275
-135.8,-78.7,63.9,31.1,68.5,293.8,1500,3032.8244,2234.6474,2591.7649,3436.8829,2360.8016,2672.8892,3584.6834,2069.7064,2391.2661,3032.753173,2234.622467,2591.618427,3436.707244,2360.951025,2672.948633,3584.770815,2069.874617,2391.446716,0.071226638,0.024933292,0.146473292,0.164770532,0.175655726,-0.149425287,-0.059433123,0.23814942,-0.087415274,-0.168217198,-0.180615559,0.261840478
-137.1,-103.8,105.7,46.5,39.3,360,1500,3206.5182,2196.3913,2361.1441,3400.4606,1883.8576,2136.5127,3030.1404,1663.4903,2122.7551,3206.459646,2196.338191,2361.102875,3400.537317,1883.869501,2136.491115,3030.280983,1663.392679,2122.639825,0.058553539,0.053108734,0.041225241,0.089154782,-0.076717204,-0.011901003,0.021585058,0.080579638,-0.140583197,0.097621354,0.115275247,0.206353935
-48.9,-52.4,120,91.3,-98.2,5.4,1500,925.0536,1157.9307,2339.5097,1172.2389,958.0345,2048.4647,1089.6066,579.558,2237.7378,924.9577842,1157.876444,2339.644396,1172.16776,958.1748234,2048.509936,1089.638123,579.6002799,2237.615164,0.095815819,0.054256496,-0.13469643,0.173975765,0.071139714,-0.140323442,-0.045235691,0.163700321,-0.031522859,-0.042279945,0.122635954,0.1334948
-73,-85.6,62.1,127.6,-80.3,156.4,1500,1377.1824,2482.2192,2841.4034,1578.8408,2852.8195,2929.5228,1845.9256,2786.8024,2597.5476,1377.173266,2482.358776,2841.339652,1578.941491,2852.884282,2929.40384,1846.005444,2786.74562,2597.449849,0.009134181,-0.139576497,0.063748177,0.153716823,-0.100691323,-0.064781661,0.118960097,0.168780659,-0.079843643,0.056780354,0.097750977,0.13839895
-90.5,-82.4,60.5,134.6,-62.1,283.9,1500,2351.1002,2942.228,3051.415,2415.1948,2609.0138,2785.6663,2088.1402,2397.8579,2970.9861,2351.187677,2942.180341,3051.369559,2415.266525,2608.970368,2785.629638,2088.164141,2397.863211,2970.913739,-0.08747655,0.047659172,0.045441267,0.109491791,-0.071724621,0.043432374,0.036661589,0.091514285,-0.023941132,-0.005310693,0.07236104,0.076403543
-101.5,-91.6,89.8,141.2,-40.2,278.4,1500,2657.7795,2314.6652,2987.4572,2756.2637,2013.5548,2695.2596,2410.322,1785.0795,2813.6026,2657.855322,2314.764867,2987.390385,2756.295673,2013.59763,2695.224884,2410.303025,1785.192308,2813.595056,-0.075821891,-0.099667199,0.066814761,0.141939149,-0.031972608,-0.042830464,0.034716291,0.063733172,0.018974534,-0.112807811,0.007544052,0.114640952
-122.4,-108.1,71.5,-167.9,-73.1,274.1,2000,3297.2273,2906.5607,2087.6668,3109.916,2568.7158,1896.552,2737.1363,2665.2826,2090.4897,3297.436397,2906.457452,2087.616643,3109.970742,2568.656414,1896.569054,2737.257676,2665.369485,2090.533211,-0.209096596,0.103248181,0.050156665,0.238531475,-0.054741726,0.059386172,-0.017054398,0.082548328,-0.121376072,-0.086884551,-0.043510706,0.15548073
-140.4,-101.4,60.5,-144.6,-75.4,206.5,2000,3413.9296,3332.9155,2068.8911,3621.1505,3012.5878,1868.3437,3251.8904,2792.0523,1838.3276,3414.238474,3332.852302,2068.830631,3621.234228,3012.37661,1868.328801,3251.836707,2792.057855,1838.397397,-0.308874132,0.06319831,0.060468583,0.32101979,-0.083728172,0.211189628,0.014899422,0.227669626,0.053693058,-0.005555006,-0.069796904,0.088234972
-56.6,-51.4,106.7,-99.9,93.1,149,2000,1376.1876,1270.7575,2895.3678,1653.8446,1245.8884,2566.6691,1684.3732,819.6926,2624.2642,1376.344037,1270.851107,2895.411965,1654.010631,1245.812505,2566.736449,1684.366037,819.6153483,2624.405631,-0.156437326,-0.093606749,-0.044164699,0.187577667,-0.166031332,0.075895492,-0.067349184,0.194582737,0.007162521,0.077251672,-0.141430628,0.16131257
-43.5,-58.1,111.5,-81.2,87.5,180,2000,1139.7063,1171.2927,2425.6828,1342.174,918.5235,2141.283,1141.9921,573.5023,2304.9184,1139.944813,1171.332929,2425.574576,1342.236708,918.3920166,2141.227948,1141.91685,573.511081,2304.994882,-0.238512932,-0.04022892,0.108223749,0.264988989,-0.062708164,0.131483429,0.055051821,0.155727033,0.07525011,-0.008780987,-0.076481621,0.10765279
-71.4,-78.3,93.4,-77.2,62.2,74.1,2000,1839.3591,1836.4828,3276.2923,2149.8188,2002.3895,3027.6151,2180.3516,1628.2548,2815.5381,1839.475537,1836.511613,3276.311535,2150.001007,2002.343475,3027.661504,2180.475396,1628.182053,2815.602061,-0.11643717,-0.028812678,-0.019234874,0.121481543,-0.182206967,0.04602454,-0.046404461,0.193574304,-0.123795702,0.072747184,-0.063961047,0.157189517
-131,-116.8,88.1,28.7,68.5,261.9,2000,2769.6073,2450.5653,1928.573,2962.2696,2786.9373,2116.949,3343.9934,2651.5132,1969.187,2769.625909,2450.412075,1928.444642,2962.054225,2786.859151,2116.930623,3343.899093,2651.588473,1969.324084,-0.018609334,0.153224673,0.128358194,0.200748434,0.215374556,0.078148537,0.018377309,0.229850209,0.094306552,-0.075272804,-0.137083989,0.18262459
-150,-73.8,81.7,74.6,74,200.6,2000,3708.954,1842.306,2239.8026,3848.2097,2218.5552,2397.2479,4241.059,2050.016,2453.4186,3708.841938,1842.351133,2239.699484,3848.16819,2218.589443,2397.146872,4240.980747,2049.979546,2453.365553,0.112061757,-0.045133173,0.103115974,0.158832442,0.041509969,-0.034242995,0.101027599,0.114464999,0.078253008,0.036453771,0.053047405,0.101323432
-72.8,-75.8,119.7,82.7,-65,160.9,2000,2244.4688,897.2661,2647.204,2030.809,1093.5495,2965.8862,2222.2169,1466.484,2865.0206,2244.573294,897.3745428,2647.099741,2030.799546,1093.479831,2965.843806,2222.158386,1466.486292,2865.150017,-0.104494354,-0.108442816,0.104258956,0.183163436,0.009454347,0.069669109,0.042394065,0.082100098,0.05851447,-0.002291551,-0.129417392,0.142049483
-63.5,1,34.5,88.5,-97.3,175.1,2000,1594.0001,25.0431,3411.0975,1464.4561,352.8828,3658.9732,1559.9687,630.0441,3342.8562,1594.047551,24.88044261,3410.773625,1464.547795,352.6662255,3658.851391,1560.025768,629.9961282,3342.840498,-0.047451312,0.162657392,0.323875086,0.365518981,-0.091694968,0.216574533,0.121809,0.264858317,-0.057068153,0.04797181,0.015702433,0.076188155
